Calculation1,School,City,County/State/ Territory,Count,All,African American,American Indian,Hispanic/ Latinx,Pacific Islander,Asian,White,Domestic Unknown,Int'l
ROSELAND COLLEGIATE PREP54850,ROSELAND COLLEGIATE PREP,Santa Rosa,Sonoma,App,27,,,24,,,,,
ROSELAND COLLEGIATE PREP54850,ROSELAND COLLEGIATE PREP,Santa Rosa,Sonoma,Adm,20,,,17,,,,,
ROSELAND COLLEGIATE PREP54850,ROSELAND COLLEGIATE PREP,Santa Rosa,Sonoma,Enr,9,,,8,,,,,
ROSELAND UNIVERSITY PREP54044,ROSELAND UNIVERSITY PREP,Santa Rosa,Sonoma,App,35,,,34,,,,,
ROSELAND UNIVERSITY PREP54044,ROSELAND UNIVERSITY PREP,Santa Rosa,Sonoma,Adm,28,,,27,,,,,
ROSELAND UNIVERSITY PREP54044,ROSELAND UNIVERSITY PREP,Santa Rosa,Sonoma,Enr,19,,,18,,,,,
ROSEMEAD HIGH SCHOOL52685,ROSEMEAD HIGH SCHOOL,Rosemead,Los Angeles,App,151,,,27,,117,,,
ROSEMEAD HIGH SCHOOL52685,ROSEMEAD HIGH SCHOOL,Rosemead,Los Angeles,Adm,107,,,14,,89,,,
ROSEMEAD HIGH SCHOOL52685,ROSEMEAD HIGH SCHOOL,Rosemead,Los Angeles,Enr,65,,,4,,59,,,
ROSEMONT HIGH SCHOOL53927,ROSEMONT HIGH SCHOOL,Sacramento,Sacramento,App,45,9,,13,,11,11,,
ROSEMONT HIGH SCHOOL53927,ROSEMONT HIGH SCHOOL,Sacramento,Sacramento,Adm,29,4,,9,,8,8,,
ROSEMONT HIGH SCHOOL53927,ROSEMONT HIGH SCHOOL,Sacramento,Sacramento,Enr,12,,,5,,,5,,
ROSEVILLE HIGH SCHOOL52690,ROSEVILLE HIGH SCHOOL,Roseville,Placer,App,72,,,12,,17,36,,
ROSEVILLE HIGH SCHOOL52690,ROSEVILLE HIGH SCHOOL,Roseville,Placer,Adm,44,,,7,,10,23,,
ROSEVILLE HIGH SCHOOL52690,ROSEVILLE HIGH SCHOOL,Roseville,Placer,Enr,20,,,,,6,11,,
ROUND VALLEY HIGH SCHOOL50690,ROUND VALLEY HIGH SCHOOL,Covelo,Mendocino,App,6,,,,,,,,
ROUND VALLEY HIGH SCHOOL50690,ROUND VALLEY HIGH SCHOOL,Covelo,Mendocino,Adm,3,,,,,,,,
ROUND VALLEY HIGH SCHOOL50690,ROUND VALLEY HIGH SCHOOL,Covelo,Mendocino,Enr,,,,,,,,,
ROYAL HIGH SCHOOL53379,ROYAL HIGH SCHOOL,Simi Valley,Ventura,App,83,,,28,,23,28,,
ROYAL HIGH SCHOOL53379,ROYAL HIGH SCHOOL,Simi Valley,Ventura,Adm,50,,,16,,15,15,,
ROYAL HIGH SCHOOL53379,ROYAL HIGH SCHOOL,Simi Valley,Ventura,Enr,25,,,4,,10,7,,
RUBEN S AYALA HIGH SCHOOL50563,RUBEN S AYALA HIGH SCHOOL,Chino Hills,San Bernardino,App,311,12,,82,,187,25,,
RUBEN S AYALA HIGH SCHOOL50563,RUBEN S AYALA HIGH SCHOOL,Chino Hills,San Bernardino,Adm,229,8,,47,,153,17,,
RUBEN S AYALA HIGH SCHOOL50563,RUBEN S AYALA HIGH SCHOOL,Chino Hills,San Bernardino,Enr,143,5,,20,,106,10,,
RUBIDOUX HIGH SCHOOL52672,RUBIDOUX HIGH SCHOOL,Jurupa Valley,Riverside,App,62,,,58,,,,,
RUBIDOUX HIGH SCHOOL52672,RUBIDOUX HIGH SCHOOL,Jurupa Valley,Riverside,Adm,50,,,47,,,,,
RUBIDOUX HIGH SCHOOL52672,RUBIDOUX HIGH SCHOOL,Jurupa Valley,Riverside,Enr,28,,,26,,,,,
RUSSELL WESTBROOK WHY NOT HIGH51687,RUSSELL WESTBROOK WHY NOT HIGH,Bell,Los Angeles,App,14,,,10,,,,,
RUSSELL WESTBROOK WHY NOT HIGH51687,RUSSELL WESTBROOK WHY NOT HIGH,Bell,Los Angeles,Adm,11,,,7,,,,,
RUSSELL WESTBROOK WHY NOT HIGH51687,RUSSELL WESTBROOK WHY NOT HIGH,Bell,Los Angeles,Enr,3,,,,,,,,
RUTH ASAWA SCHOOL OF THE ARTS53033,RUTH ASAWA SCHOOL OF THE ARTS,San Francisco,San Francisco,App,127,12,,25,,42,45,,
RUTH ASAWA SCHOOL OF THE ARTS53033,RUTH ASAWA SCHOOL OF THE ARTS,San Francisco,San Francisco,Adm,88,7,,13,,35,30,,
RUTH ASAWA SCHOOL OF THE ARTS53033,RUTH ASAWA SCHOOL OF THE ARTS,San Francisco,San Francisco,Enr,40,3,,3,,21,12,,
SACRAMENTO ACAD VOC ACADEMY54188,SACRAMENTO ACAD VOC ACADEMY,Sacramento,Sacramento,App,,,,,,,,,
SACRAMENTO ACAD VOC ACADEMY54188,SACRAMENTO ACAD VOC ACADEMY,Sacramento,Sacramento,Adm,,,,,,,,,
SACRAMENTO ACAD VOC ACADEMY54188,SACRAMENTO ACAD VOC ACADEMY,Sacramento,Sacramento,Enr,,,,,,,,,
SACRAMENTO ACD VOC ACDMY EGUSD51707,SACRAMENTO ACD VOC ACDMY EGUSD,Elk Grove,Sacramento,App,,,,,,,,,
SACRAMENTO ACD VOC ACDMY EGUSD51707,SACRAMENTO ACD VOC ACDMY EGUSD,Elk Grove,Sacramento,Adm,,,,,,,,,
SACRAMENTO ACD VOC ACDMY EGUSD51707,SACRAMENTO ACD VOC ACDMY EGUSD,Elk Grove,Sacramento,Enr,,,,,,,,,
SACRAMENTO ACD VOC ACDMY SCUSD51706,SACRAMENTO ACD VOC ACDMY SCUSD,Sacramento,Sacramento,App,,,,,,,,,
SACRAMENTO ACD VOC ACDMY SCUSD51706,SACRAMENTO ACD VOC ACDMY SCUSD,Sacramento,Sacramento,Adm,,,,,,,,,
SACRAMENTO ACD VOC ACDMY SCUSD51706,SACRAMENTO ACD VOC ACDMY SCUSD,Sacramento,Sacramento,Enr,,,,,,,,,
SACRAMENTO HIGH SCHOOL52735,SACRAMENTO HIGH SCHOOL,Sacramento,Sacramento,App,29,22,,5,,,,,
SACRAMENTO HIGH SCHOOL52735,SACRAMENTO HIGH SCHOOL,Sacramento,Sacramento,Adm,22,18,,3,,,,,
SACRAMENTO HIGH SCHOOL52735,SACRAMENTO HIGH SCHOOL,Sacramento,Sacramento,Enr,8,7,,,,,,,
SACRAMENTO NEW TECHNOLOGY HS53012,SACRAMENTO NEW TECHNOLOGY HS,Sacramento,Sacramento,App,,,,,,,,,
SACRAMENTO NEW TECHNOLOGY HS53012,SACRAMENTO NEW TECHNOLOGY HS,Sacramento,Sacramento,Adm,,,,,,,,,
SACRAMENTO NEW TECHNOLOGY HS53012,SACRAMENTO NEW TECHNOLOGY HS,Sacramento,Sacramento,Enr,,,,,,,,,
SADDLEBACK HIGH SCHOOL53242,SADDLEBACK HIGH SCHOOL,Santa Ana,Orange,App,73,,,64,,8,,,
SADDLEBACK HIGH SCHOOL53242,SADDLEBACK HIGH SCHOOL,Santa Ana,Orange,Adm,48,,,42,,6,,,
SADDLEBACK HIGH SCHOOL53242,SADDLEBACK HIGH SCHOOL,Santa Ana,Orange,Enr,24,,,22,,,,,
SAGE CREEK HIGH SCHOOL54709,SAGE CREEK HIGH SCHOOL,Carlsbad,San Diego,App,143,5,,26,,37,68,,
SAGE CREEK HIGH SCHOOL54709,SAGE CREEK HIGH SCHOOL,Carlsbad,San Diego,Adm,87,,,15,,28,38,,
SAGE CREEK HIGH SCHOOL54709,SAGE CREEK HIGH SCHOOL,Carlsbad,San Diego,Enr,42,,,7,,17,17,,
SAGE OAK CHARTER SCHL - SOUTH53030,SAGE OAK CHARTER SCHL - SOUTH,Redlands,San Bernardino,App,,,,,,,,,
SAGE OAK CHARTER SCHL - SOUTH53030,SAGE OAK CHARTER SCHL - SOUTH,Redlands,San Bernardino,Adm,,,,,,,,,
SAGE OAK CHARTER SCHL - SOUTH53030,SAGE OAK CHARTER SCHL - SOUTH,Redlands,San Bernardino,Enr,,,,,,,,,
SAGE OAK CHARTER SCHOOL KEPPEL51443,SAGE OAK CHARTER SCHOOL KEPPEL,Redlands,San Bernardino,App,,,,,,,,,
SAGE OAK CHARTER SCHOOL KEPPEL51443,SAGE OAK CHARTER SCHOOL KEPPEL,Redlands,San Bernardino,Adm,,,,,,,,,
SAGE OAK CHARTER SCHOOL KEPPEL51443,SAGE OAK CHARTER SCHOOL KEPPEL,Redlands,San Bernardino,Enr,,,,,,,,,
SAGE OAK CHARTER51664,SAGE OAK CHARTER,Redlands,San Bernardino,App,16,,,9,,,,,
SAGE OAK CHARTER51664,SAGE OAK CHARTER,Redlands,San Bernardino,Adm,10,,,4,,,,,
SAGE OAK CHARTER51664,SAGE OAK CHARTER,Redlands,San Bernardino,Enr,3,,,,,,,,
SAINT HELENA HIGH SCHOOL52740,SAINT HELENA HIGH SCHOOL,Saint Helena,Napa,App,25,,,8,,,13,,
SAINT HELENA HIGH SCHOOL52740,SAINT HELENA HIGH SCHOOL,Saint Helena,Napa,Adm,16,,,3,,,9,,
SAINT HELENA HIGH SCHOOL52740,SAINT HELENA HIGH SCHOOL,Saint Helena,Napa,Enr,6,,,,,,4,,
SALINAS HIGH SCHOOL52755,SALINAS HIGH SCHOOL,Salinas,Monterey,App,106,,,53,,18,25,,
SALINAS HIGH SCHOOL52755,SALINAS HIGH SCHOOL,Salinas,Monterey,Adm,70,,,33,,15,15,,
SALINAS HIGH SCHOOL52755,SALINAS HIGH SCHOOL,Salinas,Monterey,Enr,29,,,15,,7,6,,
SAMUELI ACADEMY54751,SAMUELI ACADEMY,Santa Ana,Orange,App,35,,,25,,,,,
SAMUELI ACADEMY54751,SAMUELI ACADEMY,Santa Ana,Orange,Adm,17,,,11,,,,,
SAMUELI ACADEMY54751,SAMUELI ACADEMY,Santa Ana,Orange,Enr,9,,,4,,,,,
SAN BERNARDINO HIGH SCHOOL52797,SAN BERNARDINO HIGH SCHOOL,San Bernardino,San Bernardino,App,40,,,35,,,,,
SAN BERNARDINO HIGH SCHOOL52797,SAN BERNARDINO HIGH SCHOOL,San Bernardino,San Bernardino,Adm,26,,,24,,,,,
SAN BERNARDINO HIGH SCHOOL52797,SAN BERNARDINO HIGH SCHOOL,San Bernardino,San Bernardino,Enr,12,,,10,,,,,
SAN CLEMENTE HIGH SCHOOL52814,SAN CLEMENTE HIGH SCHOOL,San Clemente,Orange,App,211,,,49,,25,120,8,
SAN CLEMENTE HIGH SCHOOL52814,SAN CLEMENTE HIGH SCHOOL,San Clemente,Orange,Adm,113,,,26,,18,59,6,
SAN CLEMENTE HIGH SCHOOL52814,SAN CLEMENTE HIGH SCHOOL,San Clemente,Orange,Enr,49,,,12,,9,25,,
SAN DIEGO HIGH SCHOOL53903,SAN DIEGO HIGH SCHOOL,San Diego,San Diego,App,169,21,,101,,8,35,,
SAN DIEGO HIGH SCHOOL53903,SAN DIEGO HIGH SCHOOL,San Diego,San Diego,Adm,123,15,,67,,7,30,,
SAN DIEGO HIGH SCHOOL53903,SAN DIEGO HIGH SCHOOL,San Diego,San Diego,Enr,69,10,,36,,6,16,,
SAN DIEGO INTL STUDIES53907,SAN DIEGO INTL STUDIES,San Diego,San Diego,App,24,,,7,,,12,,
SAN DIEGO INTL STUDIES53907,SAN DIEGO INTL STUDIES,San Diego,San Diego,Adm,17,,,3,,,10,,
SAN DIEGO INTL STUDIES53907,SAN DIEGO INTL STUDIES,San Diego,San Diego,Enr,11,,,,,,6,,
SAN DIEGO MET53909,SAN DIEGO MET,San Diego,San Diego,App,7,,,,,,,,
SAN DIEGO MET53909,SAN DIEGO MET,San Diego,San Diego,Adm,5,,,,,,,,
SAN DIEGO MET53909,SAN DIEGO MET,San Diego,San Diego,Enr,,,,,,,,,
SAN DIEGO SCHL CREATE/PERFORM52869,SAN DIEGO SCHL CREATE/PERFORM,San Diego,San Diego,App,58,,,15,,24,13,,
SAN DIEGO SCHL CREATE/PERFORM52869,SAN DIEGO SCHL CREATE/PERFORM,San Diego,San Diego,Adm,37,,,10,,13,9,,
SAN DIEGO SCHL CREATE/PERFORM52869,SAN DIEGO SCHL CREATE/PERFORM,San Diego,San Diego,Enr,18,,,3,,5,5,,
SAN DIEGO VIRTUAL SCHOOL54581,SAN DIEGO VIRTUAL SCHOOL,San Diego,San Diego,App,,,,,,,,,
SAN DIEGO VIRTUAL SCHOOL54581,SAN DIEGO VIRTUAL SCHOOL,San Diego,San Diego,Adm,,,,,,,,,
SAN DIEGO VIRTUAL SCHOOL54581,SAN DIEGO VIRTUAL SCHOOL,San Diego,San Diego,Enr,,,,,,,,,
SAN DIEGO WORKFORCE INNOVATION50448,SAN DIEGO WORKFORCE INNOVATION,National City,San Diego,App,8,,,5,,,,,
SAN DIEGO WORKFORCE INNOVATION50448,SAN DIEGO WORKFORCE INNOVATION,National City,San Diego,Adm,,,,,,,,,
SAN DIEGO WORKFORCE INNOVATION50448,SAN DIEGO WORKFORCE INNOVATION,National City,San Diego,Enr,,,,,,,,,
SAN DIEGUITO ACADEMY50865,SAN DIEGUITO ACADEMY,Encinitas,San Diego,App,270,,5,55,,30,162,14,
SAN DIEGUITO ACADEMY50865,SAN DIEGUITO ACADEMY,Encinitas,San Diego,Adm,190,,5,37,,22,110,12,
SAN DIEGUITO ACADEMY50865,SAN DIEGUITO ACADEMY,Encinitas,San Diego,Enr,87,,5,15,,11,46,7,
SAN DIMAS HIGH SCHOOL52894,SAN DIMAS HIGH SCHOOL,San Dimas,Los Angeles,App,80,7,,41,,20,8,,
SAN DIMAS HIGH SCHOOL52894,SAN DIMAS HIGH SCHOOL,San Dimas,Los Angeles,Adm,52,6,,26,,14,3,,
SAN DIMAS HIGH SCHOOL52894,SAN DIMAS HIGH SCHOOL,San Dimas,Los Angeles,Enr,31,3,,15,,9,,,
SAN FERNANDO HIGH SCHOOL52905,SAN FERNANDO HIGH SCHOOL,San Fernando,Los Angeles,App,100,,,99,,,,,
SAN FERNANDO HIGH SCHOOL52905,SAN FERNANDO HIGH SCHOOL,San Fernando,Los Angeles,Adm,67,,,,,,,,
SAN FERNANDO HIGH SCHOOL52905,SAN FERNANDO HIGH SCHOOL,San Fernando,Los Angeles,Enr,22,,,,,,,,
SAN FRANCISCO INTERNATIONAL HS54515,SAN FRANCISCO INTERNATIONAL HS,San Francisco,San Francisco,App,12,,,6,,6,,,
SAN FRANCISCO INTERNATIONAL HS54515,SAN FRANCISCO INTERNATIONAL HS,San Francisco,San Francisco,Adm,12,,,6,,6,,,
SAN FRANCISCO INTERNATIONAL HS54515,SAN FRANCISCO INTERNATIONAL HS,San Francisco,San Francisco,Enr,12,,,6,,6,,,
SAN GABRIEL HIGH SCHOOL53055,SAN GABRIEL HIGH SCHOOL,San Gabriel,Los Angeles,App,199,,,24,,168,,,
SAN GABRIEL HIGH SCHOOL53055,SAN GABRIEL HIGH SCHOOL,San Gabriel,Los Angeles,Adm,162,,,16,,141,,,
SAN GABRIEL HIGH SCHOOL53055,SAN GABRIEL HIGH SCHOOL,San Gabriel,Los Angeles,Enr,89,,,7,,81,,,
SAN GORGONIO HIGH SCHOOL52798,SAN GORGONIO HIGH SCHOOL,San Bernardino,San Bernardino,App,89,6,,73,,7,,,
SAN GORGONIO HIGH SCHOOL52798,SAN GORGONIO HIGH SCHOOL,San Bernardino,San Bernardino,Adm,55,,,45,,6,,,
SAN GORGONIO HIGH SCHOOL52798,SAN GORGONIO HIGH SCHOOL,San Bernardino,San Bernardino,Enr,26,,,21,,3,,,
SAN JACINTO HIGH SCHOOL53070,SAN JACINTO HIGH SCHOOL,San Jacinto,Riverside,App,106,13,,83,,,5,,
SAN JACINTO HIGH SCHOOL53070,SAN JACINTO HIGH SCHOOL,San Jacinto,Riverside,Adm,72,12,,52,,,5,,
SAN JACINTO HIGH SCHOOL53070,SAN JACINTO HIGH SCHOOL,San Jacinto,Riverside,Enr,39,8,,28,,,,,
SAN JACINTO VALLEY ACADEMY54027,SAN JACINTO VALLEY ACADEMY,San Jacinto,Riverside,App,33,,,27,,,,,
SAN JACINTO VALLEY ACADEMY54027,SAN JACINTO VALLEY ACADEMY,San Jacinto,Riverside,Adm,24,,,19,,,,,
SAN JACINTO VALLEY ACADEMY54027,SAN JACINTO VALLEY ACADEMY,San Jacinto,Riverside,Enr,14,,,9,,,,,
SAN JOAQUIN HIGH SCHOOL51273,SAN JOAQUIN HIGH SCHOOL,Irvine,Orange,App,21,,,,,13,5,,
SAN JOAQUIN HIGH SCHOOL51273,SAN JOAQUIN HIGH SCHOOL,Irvine,Orange,Adm,16,,,,,10,4,,
SAN JOAQUIN HIGH SCHOOL51273,SAN JOAQUIN HIGH SCHOOL,Irvine,Orange,Enr,9,,,,,7,,,
SAN JOSE HIGH SCHOOL53098,SAN JOSE HIGH SCHOOL,San Jose,Santa Clara,App,43,,,30,,10,,,
SAN JOSE HIGH SCHOOL53098,SAN JOSE HIGH SCHOOL,San Jose,Santa Clara,Adm,25,,,16,,8,,,
SAN JOSE HIGH SCHOOL53098,SAN JOSE HIGH SCHOOL,San Jose,Santa Clara,Enr,9,,,5,,4,,,
SAN JUAN HIGH SCHOOL50582,SAN JUAN HIGH SCHOOL,Citrus Heights,Sacramento,App,29,7,,10,,,7,,
SAN JUAN HIGH SCHOOL50582,SAN JUAN HIGH SCHOOL,Citrus Heights,Sacramento,Adm,23,5,,10,,,5,,
SAN JUAN HIGH SCHOOL50582,SAN JUAN HIGH SCHOOL,Citrus Heights,Sacramento,Enr,5,,,,,,,,
SAN JUAN HILLS HIGH SCHOOL54181,SAN JUAN HILLS HIGH SCHOOL,San Juan Capistrano,Orange,App,238,6,,73,,47,102,10,
SAN JUAN HILLS HIGH SCHOOL54181,SAN JUAN HILLS HIGH SCHOOL,San Juan Capistrano,Orange,Adm,144,,,46,,31,56,,
SAN JUAN HILLS HIGH SCHOOL54181,SAN JUAN HILLS HIGH SCHOOL,San Juan Capistrano,Orange,Enr,56,,,14,,13,23,,
SAN LEANDRO HIGH SCHOOL53120,SAN LEANDRO HIGH SCHOOL,San Leandro,Alameda,App,134,11,,45,,60,18,,
SAN LEANDRO HIGH SCHOOL53120,SAN LEANDRO HIGH SCHOOL,San Leandro,Alameda,Adm,86,6,,27,,41,12,,
SAN LEANDRO HIGH SCHOOL53120,SAN LEANDRO HIGH SCHOOL,San Leandro,Alameda,Enr,50,,,12,,28,8,,
SAN LORENZO HIGH SCHOOL53130,SAN LORENZO HIGH SCHOOL,San Lorenzo,Alameda,App,49,,,27,,16,,,
SAN LORENZO HIGH SCHOOL53130,SAN LORENZO HIGH SCHOOL,San Lorenzo,Alameda,Adm,33,,,21,,12,,,
SAN LORENZO HIGH SCHOOL53130,SAN LORENZO HIGH SCHOOL,San Lorenzo,Alameda,Enr,17,,,9,,8,,,
SAN LORENZO VALLEY HIGH SCHOOL50927,SAN LORENZO VALLEY HIGH SCHOOL,Felton,Santa Cruz,App,36,,,,,,27,,
SAN LORENZO VALLEY HIGH SCHOOL50927,SAN LORENZO VALLEY HIGH SCHOOL,Felton,Santa Cruz,Adm,21,,,,,,15,,
SAN LORENZO VALLEY HIGH SCHOOL50927,SAN LORENZO VALLEY HIGH SCHOOL,Felton,Santa Cruz,Enr,9,,,,,,8,,
SAN LUIS OBISPO HIGH SCHOOL53145,SAN LUIS OBISPO HIGH SCHOOL,San Luis Obispo,San Luis Obispo,App,145,,,27,,24,83,7,
SAN LUIS OBISPO HIGH SCHOOL53145,SAN LUIS OBISPO HIGH SCHOOL,San Luis Obispo,San Luis Obispo,Adm,102,,,16,,20,61,3,
SAN LUIS OBISPO HIGH SCHOOL53145,SAN LUIS OBISPO HIGH SCHOOL,San Luis Obispo,San Luis Obispo,Enr,36,,,7,,9,18,,
SAN MARCOS HIGH SCHOOL50883,SAN MARCOS HIGH SCHOOL,San Marcos,San Diego,App,339,17,5,95,,62,145,12,
SAN MARCOS HIGH SCHOOL50883,SAN MARCOS HIGH SCHOOL,San Marcos,San Diego,Adm,204,9,4,48,,39,94,,
SAN MARCOS HIGH SCHOOL50883,SAN MARCOS HIGH SCHOOL,San Marcos,San Diego,Enr,112,7,4,22,,27,45,,
SAN MARCOS HIGH SCHOOL53272,SAN MARCOS HIGH SCHOOL,Santa Barbara,Santa Barbara,App,185,,,71,,14,86,8,
SAN MARCOS HIGH SCHOOL53272,SAN MARCOS HIGH SCHOOL,Santa Barbara,Santa Barbara,Adm,136,,,42,,13,71,7,
SAN MARCOS HIGH SCHOOL53272,SAN MARCOS HIGH SCHOOL,Santa Barbara,Santa Barbara,Enr,59,,,18,,10,29,,
SAN MARIN HIGH SCHOOL52172,SAN MARIN HIGH SCHOOL,Novato,Marin,App,101,,,18,,19,59,,
SAN MARIN HIGH SCHOOL52172,SAN MARIN HIGH SCHOOL,Novato,Marin,Adm,65,,,14,,10,37,,
SAN MARIN HIGH SCHOOL52172,SAN MARIN HIGH SCHOOL,Novato,Marin,Enr,30,,,6,,5,17,,
SAN MARINO HIGH SCHOOL53158,SAN MARINO HIGH SCHOOL,San Marino,Los Angeles,App,124,,,12,,94,13,,
SAN MARINO HIGH SCHOOL53158,SAN MARINO HIGH SCHOOL,San Marino,Los Angeles,Adm,91,,,6,,73,9,,
SAN MARINO HIGH SCHOOL53158,SAN MARINO HIGH SCHOOL,San Marino,Los Angeles,Enr,45,,,4,,37,3,,
SAN MATEO HIGH SCHOOL53175,SAN MATEO HIGH SCHOOL,San Mateo,San Mateo,App,166,,,25,,95,33,,
SAN MATEO HIGH SCHOOL53175,SAN MATEO HIGH SCHOOL,San Mateo,San Mateo,Adm,129,,,20,,76,22,,
SAN MATEO HIGH SCHOOL53175,SAN MATEO HIGH SCHOOL,San Mateo,San Mateo,Enr,58,,,5,,44,5,,
SAN PASQUAL ACADEMY50832,SAN PASQUAL ACADEMY,Escondido,San Diego,App,,,,,,,,,
SAN PASQUAL ACADEMY50832,SAN PASQUAL ACADEMY,Escondido,San Diego,Adm,,,,,,,,,
SAN PASQUAL ACADEMY50832,SAN PASQUAL ACADEMY,Escondido,San Diego,Enr,,,,,,,,,
SAN PASQUAL HIGH SCHOOL50884,SAN PASQUAL HIGH SCHOOL,Escondido,San Diego,App,107,6,,47,,12,38,,
SAN PASQUAL HIGH SCHOOL50884,SAN PASQUAL HIGH SCHOOL,Escondido,San Diego,Adm,64,3,,28,,7,24,,
SAN PASQUAL HIGH SCHOOL50884,SAN PASQUAL HIGH SCHOOL,Escondido,San Diego,Enr,24,,,10,,3,9,,
SAN PASQUAL VALLEY HIGH SCHOOL53788,SAN PASQUAL VALLEY HIGH SCHOOL,Winterhaven,Imperial,App,,,,,,,,,
SAN PASQUAL VALLEY HIGH SCHOOL53788,SAN PASQUAL VALLEY HIGH SCHOOL,Winterhaven,Imperial,Adm,,,,,,,,,
SAN PASQUAL VALLEY HIGH SCHOOL53788,SAN PASQUAL VALLEY HIGH SCHOOL,Winterhaven,Imperial,Enr,,,,,,,,,
SAN PEDRO HIGH SCHOOL53195,SAN PEDRO HIGH SCHOOL,San Pedro,Los Angeles,App,159,11,,88,,30,23,,
SAN PEDRO HIGH SCHOOL53195,SAN PEDRO HIGH SCHOOL,San Pedro,Los Angeles,Adm,93,4,,50,,22,13,,
SAN PEDRO HIGH SCHOOL53195,SAN PEDRO HIGH SCHOOL,San Pedro,Los Angeles,Enr,48,,,22,,15,6,,
SAN RAFAEL HIGH SCHOOL53222,SAN RAFAEL HIGH SCHOOL,San Rafael,Marin,App,89,,,40,,,43,,
SAN RAFAEL HIGH SCHOOL53222,SAN RAFAEL HIGH SCHOOL,San Rafael,Marin,Adm,66,,,31,,,31,,
SAN RAFAEL HIGH SCHOOL53222,SAN RAFAEL HIGH SCHOOL,San Rafael,Marin,Enr,28,,,12,,,13,,
SAN RAMON VALLEY HIGH SCHOOL50725,SAN RAMON VALLEY HIGH SCHOOL,Danville,Contra Costa,App,181,,,30,,43,100,,
SAN RAMON VALLEY HIGH SCHOOL50725,SAN RAMON VALLEY HIGH SCHOOL,Danville,Contra Costa,Adm,100,,,15,,31,50,,
SAN RAMON VALLEY HIGH SCHOOL50725,SAN RAMON VALLEY HIGH SCHOOL,Danville,Contra Costa,Enr,45,,,9,,13,21,,
SAN YSIDRO ADULT CENTER53724,SAN YSIDRO ADULT CENTER,San Ysidro,San Diego,App,,,,,,,,,
SAN YSIDRO ADULT CENTER53724,SAN YSIDRO ADULT CENTER,San Ysidro,San Diego,Adm,,,,,,,,,
SAN YSIDRO ADULT CENTER53724,SAN YSIDRO ADULT CENTER,San Ysidro,San Diego,Enr,,,,,,,,,
SAN YSIDRO HIGH SCHOOL53628,SAN YSIDRO HIGH SCHOOL,San Diego,San Diego,App,123,,,104,,16,,,
SAN YSIDRO HIGH SCHOOL53628,SAN YSIDRO HIGH SCHOOL,San Diego,San Diego,Adm,88,,,71,,16,,,
SAN YSIDRO HIGH SCHOOL53628,SAN YSIDRO HIGH SCHOOL,San Diego,San Diego,Enr,42,,,31,,10,,,
SANGER HIGH SCHOOL53065,SANGER HIGH SCHOOL,Sanger,Fresno,App,128,6,,80,,30,12,,
SANGER HIGH SCHOOL53065,SANGER HIGH SCHOOL,Sanger,Fresno,Adm,94,5,,54,,24,11,,
SANGER HIGH SCHOOL53065,SANGER HIGH SCHOOL,Sanger,Fresno,Enr,40,3,,27,,8,,,
SANTA ANA HIGH SCHOOL53235,SANTA ANA HIGH SCHOOL,Santa Ana,Orange,App,151,,,146,,,,,
SANTA ANA HIGH SCHOOL53235,SANTA ANA HIGH SCHOOL,Santa Ana,Orange,Adm,98,,,95,,,,,
SANTA ANA HIGH SCHOOL53235,SANTA ANA HIGH SCHOOL,Santa Ana,Orange,Enr,33,,,32,,,,,
SANTA ANA USD VIRTUAL ACADEMY55008,SANTA ANA USD VIRTUAL ACADEMY,Santa Ana,Orange,App,,,,,,,,,
SANTA ANA USD VIRTUAL ACADEMY55008,SANTA ANA USD VIRTUAL ACADEMY,Santa Ana,Orange,Adm,,,,,,,,,
SANTA ANA USD VIRTUAL ACADEMY55008,SANTA ANA USD VIRTUAL ACADEMY,Santa Ana,Orange,Enr,,,,,,,,,
SANTA BARBARA SENIOR HIGH SCHO53275,SANTA BARBARA SENIOR HIGH SCHO,Santa Barbara,Santa Barbara,App,187,,,85,,8,82,,
SANTA BARBARA SENIOR HIGH SCHO53275,SANTA BARBARA SENIOR HIGH SCHO,Santa Barbara,Santa Barbara,Adm,117,,,42,,6,62,,
SANTA BARBARA SENIOR HIGH SCHO53275,SANTA BARBARA SENIOR HIGH SCHO,Santa Barbara,Santa Barbara,Enr,48,,,11,,,31,,
SANTA CLARA HIGH SCHOOL53280,SANTA CLARA HIGH SCHOOL,Santa Clara,Santa Clara,App,156,6,,31,,76,33,5,5
SANTA CLARA HIGH SCHOOL53280,SANTA CLARA HIGH SCHOOL,Santa Clara,Santa Clara,Adm,109,,,22,,56,22,5,
SANTA CLARA HIGH SCHOOL53280,SANTA CLARA HIGH SCHOOL,Santa Clara,Santa Clara,Enr,50,,,10,,30,6,,
SANTA CLARITA VALLEY INTERNATI50514,SANTA CLARITA VALLEY INTERNATI,Castaic,Los Angeles,App,17,,,,,,12,,
SANTA CLARITA VALLEY INTERNATI50514,SANTA CLARITA VALLEY INTERNATI,Castaic,Los Angeles,Adm,11,,,,,,8,,
SANTA CLARITA VALLEY INTERNATI50514,SANTA CLARITA VALLEY INTERNATI,Castaic,Los Angeles,Enr,7,,,,,,5,,
SANTA CRUZ ALTERNATIVE50446,SANTA CRUZ ALTERNATIVE,Santa Cruz,Santa Cruz,App,7,,,,,,,,
